,Mês,pandemic unemployment assistance california: (Califórnia),California Paid Family Leave  PFL: (Califórnia),CA PFL: (Califórnia),Recession: (Califórnia),Unemployment benefits: (Califórnia)
0,2004-01,0,0,1,3,8
1,2004-02,0,0,0,3,6
2,2004-03,0,0,0,11,4
3,2004-04,0,0,0,3,7
4,2004-05,0,2,0,0,11
5,2004-06,0,1,2,3,6
6,2004-07,0,0,0,4,8
7,2004-08,6,0,0,2,8
8,2004-09,0,0,0,3,8
9,2004-10,0,0,0,4,3
10,2004-11,0,0,0,7,6
11,2004-12,0,0,0,3,7
12,2005-01,0,0,0,3,9
13,2005-02,0,0,0,1,5
14,2005-03,2,0,0,3,7
15,2005-04,0,0,0,0,6
16,2005-05,0,0,0,0,4
17,2005-06,0,0,0,2,4
18,2005-07,0,0,0,0,5
19,2005-08,0,0,0,5,0
20,2005-09,1,0,0,2,3
21,2005-10,0,0,2,4,3
22,2005-11,0,0,2,1,5
23,2005-12,1,0,0,5,3
24,2006-01,0,0,0,5,5
25,2006-02,2,0,0,1,4
26,2006-03,0,0,0,4,2
27,2006-04,0,0,0,3,3
28,2006-05,1,1,0,4,5
29,2006-06,0,0,0,3,5
30,2006-07,0,0,0,4,5
31,2006-08,0,0,0,6,4
32,2006-09,0,1,2,5,4
33,2006-10,0,0,0,3,5
34,2006-11,0,0,0,2,5
35,2006-12,1,0,0,4,5
36,2007-01,0,0,0,3,5
37,2007-02,0,0,0,6,5
38,2007-03,0,0,0,4,6
39,2007-04,0,0,0,3,6
40,2007-05,0,0,0,4,6
41,2007-06,0,0,0,2,6
42,2007-07,0,0,0,2,6
43,2007-08,0,0,0,7,5
44,2007-09,0,0,0,8,5
45,2007-10,0,1,0,6,6
46,2007-11,0,0,0,12,6
47,2007-12,0,0,0,10,6
48,2008-01,1,0,0,43,7
49,2008-02,0,0,0,18,7
50,2008-03,0,0,0,23,7
51,2008-04,0,0,0,23,7
52,2008-05,0,0,0,14,8
53,2008-06,0,0,0,12,10
54,2008-07,0,0,1,12,8
55,2008-08,0,0,0,9,8
56,2008-09,0,0,0,18,12
57,2008-10,0,0,1,33,16
58,2008-11,0,0,0,27,20
59,2008-12,0,0,0,34,14
60,2009-01,0,0,0,26,26
61,2009-02,0,1,0,31,25
62,2009-03,0,0,0,31,18
63,2009-04,0,0,0,23,17
64,2009-05,0,0,0,19,10
65,2009-06,0,0,0,15,13
66,2009-07,0,1,0,15,15
67,2009-08,0,1,1,14,13
68,2009-09,0,0,0,15,15
69,2009-10,0,0,0,14,19
70,2009-11,0,0,0,14,15
71,2009-12,0,0,0,10,12
72,2010-01,0,0,0,10,12
73,2010-02,1,0,0,11,13
74,2010-03,0,0,1,9,17
75,2010-04,0,0,0,10,15
76,2010-05,0,0,0,10,10
77,2010-06,0,0,0,9,19
78,2010-07,0,0,1,7,21
79,2010-08,0,0,0,7,9
80,2010-09,0,0,0,9,6
81,2010-10,0,0,0,7,7
82,2010-11,0,0,0,9,8
83,2010-12,0,0,0,8,13
84,2011-01,0,0,0,7,11
85,2011-02,0,0,0,7,10
86,2011-03,0,0,0,10,10
87,2011-04,0,0,0,8,11
88,2011-05,0,0,0,10,9
89,2011-06,0,0,0,9,10
90,2011-07,0,0,0,9,10
91,2011-08,0,0,0,17,15
92,2011-09,0,0,0,13,12
93,2011-10,0,0,0,11,9
94,2011-11,0,0,0,10,10
95,2011-12,0,0,0,7,10
96,2012-01,0,0,0,7,9
97,2012-02,0,0,0,8,10
98,2012-03,0,0,0,7,9
99,2012-04,0,0,0,8,8
100,2012-05,0,0,0,9,10
101,2012-06,0,0,0,8,9
102,2012-07,0,0,0,7,9
103,2012-08,0,0,0,6,8
104,2012-09,0,0,0,7,8
105,2012-10,0,0,0,8,8
106,2012-11,0,0,0,10,8
107,2012-12,0,0,0,6,13
108,2013-01,0,0,0,6,12
109,2013-02,0,0,0,6,8
110,2013-03,0,0,0,7,7
111,2013-04,0,0,1,7,7
112,2013-05,0,0,0,7,8
113,2013-06,0,0,0,4,9
114,2013-07,0,0,0,4,8
115,2013-08,0,0,0,5,7
116,2013-09,0,0,0,5,7
117,2013-10,0,0,1,6,9
118,2013-11,0,0,0,6,7
119,2013-12,0,0,0,5,11
120,2014-01,0,0,0,5,24
121,2014-02,0,0,0,7,18
122,2014-03,0,0,0,6,14
123,2014-04,0,0,0,6,14
124,2014-05,0,0,0,7,12
125,2014-06,0,0,0,5,11
126,2014-07,0,0,0,5,7
127,2014-08,0,0,0,4,6
128,2014-09,0,0,0,5,7
129,2014-10,0,0,0,7,8
130,2014-11,0,0,0,7,6
131,2014-12,0,0,1,6,5
132,2015-01,0,0,0,6,7
133,2015-02,0,0,1,6,5
134,2015-03,0,0,1,8,6
135,2015-04,0,0,0,7,5
136,2015-05,0,0,0,7,5
137,2015-06,0,0,0,5,5
138,2015-07,0,0,0,5,5
139,2015-08,0,0,0,6,5
140,2015-09,0,0,1,6,5
141,2015-10,0,0,1,7,5
142,2015-11,0,0,0,7,5
143,2015-12,0,0,1,8,4
144,2016-01,0,0,0,10,5
145,2016-02,0,0,0,11,5
146,2016-03,0,0,0,9,5
147,2016-04,0,0,0,10,5
148,2016-05,0,0,0,10,5
149,2016-06,0,0,0,8,5
150,2016-07,0,0,0,6,5
151,2016-08,0,0,0,6,5
152,2016-09,0,0,0,8,5
153,2016-10,0,0,0,8,5
154,2016-11,0,0,0,10,4
155,2016-12,0,0,0,7,4
156,2017-01,0,0,0,7,5
157,2017-02,0,0,0,8,5
158,2017-03,0,0,0,9,5
159,2017-04,0,0,0,8,4
160,2017-05,0,0,0,9,5
161,2017-06,0,0,1,6,4
162,2017-07,0,0,0,6,4
163,2017-08,0,0,0,6,4
164,2017-09,0,0,0,7,4
165,2017-10,0,0,1,7,4
166,2017-11,0,0,0,7,5
167,2017-12,0,0,0,8,4
168,2018-01,0,0,1,7,5
169,2018-02,0,0,1,10,4
170,2018-03,0,0,0,8,4
171,2018-04,0,0,0,10,5
172,2018-05,0,0,0,9,4
173,2018-06,0,0,0,11,4
174,2018-07,0,0,0,10,5
175,2018-08,0,0,0,9,4
176,2018-09,0,0,0,10,4
177,2018-10,0,0,0,11,4
178,2018-11,0,0,0,11,4
179,2018-12,0,0,0,19,4
180,2019-01,0,0,0,14,6
181,2019-02,0,0,0,11,5
182,2019-03,0,0,0,15,4
183,2019-04,0,0,1,13,4
184,2019-05,0,0,0,12,4
185,2019-06,0,0,1,12,4
186,2019-07,0,0,0,12,4
187,2019-08,0,0,0,52,4
188,2019-09,0,0,0,21,4
189,2019-10,0,0,0,18,4
190,2019-11,0,0,1,13,4
191,2019-12,0,0,0,13,3
192,2020-01,0,0,1,11,4
193,2020-02,0,0,1,18,4
194,2020-03,2,0,1,71,77
195,2020-04,7,0,1,37,100
196,2020-05,4,0,0,21,54
197,2020-06,3,0,0,18,45
198,2020-07,3,0,1,11,56
199,2020-08,2,0,1,9,67
200,2020-09,2,0,1,10,40
201,2020-10,1,0,1,9,26
202,2020-11,1,0,0,8,21
203,2020-12,1,0,0,8,36
204,2021-01,2,0,0,7,46
205,2021-02,1,0,1,8,26
206,2021-03,1,0,0,7,29
207,2021-04,1,0,0,7,23
208,2021-05,1,0,0,8,20
209,2021-06,0,0,0,5,16
210,2021-07,0,0,0,6,14
211,2021-08,1,0,0,4,18
212,2021-09,0,0,0,6,15
213,2021-10,0,0,0,8,9
214,2021-11,0,0,0,7,8
215,2021-12,0,0,0,7,7
216,2022-01,0,0,1,9,8
217,2022-02,0,0,1,12,7
218,2022-03,0,0,0,22,7
219,2022-04,0,0,1,35,7
220,2022-05,0,0,1,50,5
221,2022-06,0,0,1,83,6
222,2022-07,0,0,1,66,6
223,2022-08,0,0,1,34,6
224,2022-09,0,0,1,29,5
225,2022-10,0,0,1,39,5
226,2022-11,0,0,1,34,5
227,2022-12,0,0,0,27,6
228,2023-01,0,0,1,25,7
229,2023-02,0,0,1,20,7
230,2023-03,0,0,1,25,8
231,2023-04,0,0,1,22,8
232,2023-05,0,0,1,32,10
