date,Month,Year,Index,Unnamed: 3
1997-1,1,1997,97.4,
1997-2,2,1997,99.7,
1997-3,3,1997,100.0,
1997-4,4,1997,101.4,
1997-5,5,1997,103.2,
1997-6,6,1997,104.5,
1997-7,7,1997,107.1,
1997-8,8,1997,104.4,
1997-9,9,1997,106.0,
1997-10,10,1997,105.6,
1997-11,11,1997,107.2,
1997-12,12,1997,102.1,
1998-1,1,1998,106.6,
1998-2,2,1998,110.4,
1998-3,3,1998,106.5,
1998-4,4,1998,108.7,
1998-5,5,1998,106.5,
1998-6,6,1998,105.6,
1998-7,7,1998,105.2,
1998-8,8,1998,104.4,
1998-9,9,1998,100.9,
1998-10,10,1998,97.4,
1998-11,11,1998,102.7,
1998-12,12,1998,100.5,
1999-1,1,1999,103.9,
1999-2,2,1999,108.1,
1999-3,3,1999,105.7,
1999-4,4,1999,104.6,
1999-5,5,1999,106.8,
1999-6,6,1999,107.3,
1999-7,7,1999,106.0,
1999-8,8,1999,104.5,
1999-9,9,1999,107.2,
1999-10,10,1999,103.2,
1999-11,11,1999,107.2,
1999-12,12,1999,105.4,
2000-1,1,2000,112.0,
2000-2,2,2000,111.3,
2000-3,3,2000,107.1,
2000-4,4,2000,109.2,
2000-5,5,2000,110.7,
2000-6,6,2000,106.4,
2000-7,7,2000,108.3,
2000-8,8,2000,107.3,
2000-9,9,2000,106.8,
2000-10,10,2000,105.8,
2000-11,11,2000,107.6,
2000-12,12,2000,98.4,
2001-1,1,2001,94.7,
2001-2,2,2001,90.6,
2001-3,3,2001,91.5,
2001-4,4,2001,88.4,
2001-5,5,2001,92.0,
2001-6,6,2001,92.6,
2001-7,7,2001,92.4,
2001-8,8,2001,91.5,
2001-9,9,2001,81.8,
2001-10,10,2001,82.7,
2001-11,11,2001,83.9,
2001-12,12,2001,88.8,
2002-1,1,2002,93.0,
2002-2,2,2002,90.7,
2002-3,3,2002,95.7,
2002-4,4,2002,93.0,
2002-5,5,2002,96.9,
2002-6,6,2002,92.4,
2002-7,7,2002,88.1,
2002-8,8,2002,87.6,
2002-9,9,2002,86.1,
2002-10,10,2002,80.6,
2002-11,11,2002,84.2,
2002-12,12,2002,86.7,
2003-1,1,2003,82.4,
2003-2,2,2003,79.9,
2003-3,3,2003,77.6,
2003-4,4,2003,86.0,
2003-5,5,2003,92.1,
2003-6,6,2003,89.7,
2003-7,7,2003,90.9,
2003-8,8,2003,89.3,
2003-9,9,2003,87.7,
2003-10,10,2003,89.6,
2003-11,11,2003,93.7,
2003-12,12,2003,92.6,
2004-1,1,2004,103.8,
2004-2,2,2004,94.4,
2004-3,3,2004,95.8,
2004-4,4,2004,94.2,
2004-5,5,2004,90.2,
2004-6,6,2004,95.6,
2004-7,7,2004,96.7,
2004-8,8,2004,95.9,
2004-9,9,2004,94.2,
2004-10,10,2004,91.7,
2004-11,11,2004,92.8,
2004-12,12,2004,97.1,
2005-1,1,2005,95.5,
2005-2,2,2005,94.1,
2005-3,3,2005,92.6,
2005-4,4,2005,87.7,
2005-5,5,2005,86.9,
2005-6,6,2005,96.0,
2005-7,7,2005,96.5,
2005-8,8,2005,89.1,
2005-9,9,2005,76.9,
2005-10,10,2005,74.2,
2005-11,11,2005,81.6,
2005-12,12,2005,91.5,
2006-1,1,2006,91.2,
2006-2,2,2006,86.7,
2006-3,3,2006,88.9,
2006-4,4,2006,87.4,
2006-5,5,2006,79.1,
2006-6,6,2006,84.9,
2006-7,7,2006,84.7,
2006-8,8,2006,82.0,
2006-9,9,2006,85.4,
2006-10,10,2006,93.6,
2006-11,11,2006,92.1,
2006-12,12,2006,91.7,
2007-1,1,2007,96.9,
2007-2,2,2007,91.3,
2007-3,3,2007,88.4,
2007-4,4,2007,87.1,
2007-5,5,2007,88.3,
2007-6,6,2007,85.3,
2007-7,7,2007,90.4,
2007-8,8,2007,83.4,
2007-9,9,2007,83.4,
2007-10,10,2007,80.9,
2007-11,11,2007,76.1,
2007-12,12,2007,75.5,
2008-1,1,2008,78.4,
2008-2,2,2008,70.8,
2008-3,3,2008,69.5,
2008-4,4,2008,62.6,
2008-5,5,2008,59.8,
2008-6,6,2008,56.4,
2008-7,7,2008,61.2,
2008-8,8,2008,63.0,
2008-9,9,2008,70.3,
2008-10,10,2008,57.6,
2008-11,11,2008,55.3,
2008-12,12,2008,60.1,
2009-1,1,2009,61.2,
2009-2,2,2009,56.3,
2009-3,3,2009,57.3,
2009-4,4,2009,65.1,
2009-5,5,2009,68.7,
2009-6,6,2009,70.8,
2009-7,7,2009,66.0,
2009-8,8,2009,65.7,
2009-9,9,2009,73.5,
2009-10,10,2009,70.6,
2009-11,11,2009,67.4,
2009-12,12,2009,72.5,
2010-1,1,2010,74.4,
2010-2,2,2010,73.6,
2010-3,3,2010,73.6,
2010-4,4,2010,72.2,
2010-5,5,2010,73.6,
2010-6,6,2010,76.0,
2010-7,7,2010,67.8,
2010-8,8,2010,68.9,
2010-9,9,2010,68.2,
2010-10,10,2010,67.7,
2010-11,11,2010,71.6,
2010-12,12,2010,74.5,
2011-1,1,2011,74.2,
2011-2,2,2011,77.5,
2011-3,3,2011,67.5,
2011-4,4,2011,69.8,
2011-5,5,2011,74.3,
2011-6,6,2011,71.5,
2011-7,7,2011,63.7,
2011-8,8,2011,55.8,
2011-9,9,2011,59.5,
2011-10,10,2011,60.8,
2011-11,11,2011,63.7,
2011-12,12,2011,69.9,
2012-1,1,2012,75.0,
2012-2,2,2012,75.3,
2012-3,3,2012,76.2,
2012-4,4,2012,76.4,
2012-5,5,2012,79.3,
2012-6,6,2012,73.2,
2012-7,7,2012,72.3,
2012-8,8,2012,74.3,
2012-9,9,2012,78.3,
2012-10,10,2012,82.6,
2012-11,11,2012,82.7,
2012-12,12,2012,72.9,
2013-1,1,2013,73.8,
2013-2,2,2013,77.6,
2013-3,3,2013,78.6,
2013-4,4,2013,76.4,
2013-5,5,2013,84.5,
2013-6,6,2013,84.1,
2013-7,7,2013,85.1,
2013-8,8,2013,82.1,
2013-9,9,2013,77.5,
2013-10,10,2013,73.2,
2013-11,11,2013,75.1,
2013-12,12,2013,82.5,
2014-1,1,2014,81.2,
2014-2,2,2014,81.6,
2014-3,3,2014,80.0,
2014-4,4,2014,84.1,
2014-5,5,2014,81.9,
2014-6,6,2014,82.5,
2014-7,7,2014,81.8,
2014-8,8,2014,82.5,
2014-9,9,2014,84.6,
2014-10,10,2014,86.9,
2014-11,11,2014,88.8,
2014-12,12,2014,93.6,
2015-1,1,2015,98.1,
2015-2,2,2015,95.4,
2015-3,3,2015,93.0,
2015-4,4,2015,95.9,
2015-5,5,2015,90.7,
2015-6,6,2015,96.1,
2015-7,7,2015,93.1,
2015-8,8,2015,91.9,
2015-9,9,2015,87.2,
2015-10,10,2015,90.0,
2015-11,11,2015,91.3,
2015-12,12,2015,92.6,
2016-1,1,2016,92.0,
2016-2,2,2016,91.7,
2016-3,3,2016,91.0,
2016-4,4,2016,89.0,
2016-5,5,2016,94.7,
2016-6,6,2016,93.5,
2016-7,7,2016,90.0,
2016-8,8,2016,89.8,
2016-9,9,2016,91.2,
2016-10,10,2016,87.2,
2016-11,11,2016,93.8,
2016-12,12,2016,98.2,
2017-1,1,2017,98.5,
2017-2,2,2017,96.3,
2017-3,3,2017,96.9,
2017-4,4,2017,97.0,
2017-5,5,2017,97.1,
2017-6,6,2017,95.0,
2017-7,7,2017,93.4,
2017-8,8,2017,96.8,
2017-9,9,2017,95.1,
2017-10,10,2017,100.7,
2017-11,11,2017,98.5,
2017-12,12,2017,95.9,
2018-1,1,2018,95.7,
2018-2,2,2018,99.7,
2018-3,3,2018,101.4,
2018-4,4,2018,98.8,
2018-5,5,2018,98.0,
2018-6,6,2018,98.2,
2018-7,7,2018,97.9,
2018-8,8,2018,96.2,
2018-9,9,2018,100.1,
2018-10,10,2018,98.6,
2018-11,11,2018,97.5,
2018-12,12,2018,98.3,
2019-1,1,2019,91.2,
2019-2,2,2019,93.8,
2019-3,3,2019,98.4,
2019-4,4,2019,97.2,
2019-5,5,2019,100.0,
2019-6,6,2019,98.2,
2019-7,7,2019,98.4,
2019-8,8,2019,89.8,
2019-9,9,2019,93.2,
2019-10,10,2019,95.5,
2019-11,11,2019,96.8,
2019-12,12,2019,99.3,
2020-1,1,2020,99.8,
2020-2,2,2020,101.0,
2020-3,3,2020,89.1,
2020-4,4,2020,71.8,
2020-5,5,2020,72.3,
2020-6,6,2020,78.1,
2020-7,7,2020,72.5,
2020-8,8,2020,74.1,
2020-9,9,2020,80.4,
2020-10,10,2020,81.8,
2020-11,11,2020,76.9,
2020-12,12,2020,80.7,
2021-1,1,2021,79.0,
2021-2,2,2021,76.8,
2021-3,3,2021,84.9,
2021-4,4,2021,88.3,
2021-5,5,2021,82.9,
2021-6,6,2021,85.5,
2021-7,7,2021,81.2,
2021-8,8,2021,70.3,
2021-9,9,2021,72.8,
2021-10,10,2021,71.7,
2021-11,11,2021,67.4,
2021-12,12,2021,70.6,
2022-1,1,2022,67.2,
2022-2,2,2022,62.8,
2022-3,3,2022,59.4,
2022-4,4,2022,65.2,
2022-5,5,2022,58.4,
2022-6,6,2022,50.0,
2022-7,7,2022,51.5,
2022-8,8,2022,58.2,
2022-9,9,2022,58.6,
2022-10,10,2022,59.9,
2022-11,11,2022,56.8,
2022-12,12,2022,59.7,
2023-1,1,2023,64.9,
2023-2,2,2023,67.0,
