date,search_hous_bubble,search_pand_assist,search_pfl,search_recession,search_unemp,us_consumer_sentiment,mob_leisure,mob_groc_pharm,mob_parks,mob_transit,mob_workplaces,mob_residential,gdp
2008-01-01,9.6667,0.0000,0.0000,27.6667,7.6667,72.90,,,,,,,1920582.3
2008-04-01,7.3333,0.0000,0.0000,16.0000,8.6667,59.60,,,,,,,1964303.1
2011-04-01,3.0000,0.0000,0.0000,9.3333,10.3333,71.87,,,,,,,2022198.7
2012-07-01,1.6667,0.0000,0.0000,7.0000,9.0000,74.97,,,,,,,2118154.5
2012-10-01,1.3333,0.0000,0.0000,8.0000,9.6667,79.40,,,,,,,2159729.7
2013-01-01,2.3333,0.0000,0.0000,6.3333,8.6667,76.67,,,,,,,2167627.5
2013-04-01,2.6667,0.0000,0.0000,6.3333,8.6667,81.67,,,,,,,2191853.4
2017-01-01,2.3333,0.0000,0.0000,8.3333,5.0000,97.23,,,,,,,2649399.8
2017-04-01,3.3333,0.0000,0.0000,8.3333,4.3333,96.37,,,,,,,2697330.3
2017-07-01,3.3333,0.0000,0.0000,6.3333,4.0000,95.10,,,,,,,2754033.6
2017-10-01,2.0000,0.0000,0.0000,7.3333,4.3333,98.37,,,,,,,2814208.6
2018-01-01,2.3333,0.0000,0.0000,8.6667,4.3333,98.93,,,,,,,2830221.0
2018-04-01,2.6667,0.0000,0.0000,10.3333,4.0000,98.33,,,,,,,2887010.8
2018-07-01,3.0000,0.0000,0.0000,9.6667,4.3333,98.07,,,,,,,2923407.4
2018-10-01,2.0000,0.0000,0.0000,14.0000,4.0000,98.13,,,,,,,2948163.4
2019-07-01,1.3333,0.0000,0.0000,29.6667,4.0000,93.80,,,,,,,3062616.7
2019-10-01,1.3333,0.0000,0.0000,14.6667,4.3333,97.20,,,,,,,3108710.4
2020-01-01,1.0000,0.6667,0.0000,33.6667,28.3333,96.63,-9.663043,1.121679,5.635752,-13.820553,-13.814385,5.749154,3074465.6
