date,gdp,employment,expenditure,exports,imports,min_wage,personal_income,disposable_income
2008-01-01,1920582.3,15433.7333,321639.175,34812.400000,82572.200000,8.00,1591475.0,345697.675
2008-04-01,1964303.1,15401.0667,321639.175,38405.900000,91073.000000,8.00,1609955.8,345697.675
2011-04-01,2022198.7,14399.9667,336420.550,39914.700000,85763.200000,8.00,1706267.6,376611.100
2012-07-01,2118154.5,14805.1667,350241.975,39177.800000,95445.900000,8.00,1808445.3,400728.375
2012-10-01,2159729.7,14896.7333,350241.975,40556.800000,98310.500000,8.00,1905728.1,400728.375
2013-01-01,2167627.5,15000.9333,360766.900,39406.463553,86303.866629,8.00,1817215.5,400888.100
2013-04-01,2191853.4,15104.4667,360766.900,41626.097174,94786.354938,8.00,1848098.9,400888.100
2017-01-01,2649399.8,16676.0667,434588.400,41551.023631,99344.454159,10.50,2275859.5,496160.750
2017-04-01,2697330.3,16795.0000,434588.400,42567.203717,109036.853225,10.50,2303674.2,496160.750
2017-07-01,2754033.6,16871.5000,434588.400,42369.559595,111780.655875,10.50,2330495.9,496160.750
2017-10-01,2814208.6,16967.5667,434588.400,45432.643642,120061.230793,10.50,2363094.0,496160.750
2018-01-01,2830221.0,17072.3667,458468.200,44145.317788,104393.656821,11.00,2380758.2,519548.325
2018-04-01,2887010.8,17133.7333,458468.200,45480.173474,107650.010302,11.00,2415395.5,519548.325
2018-07-01,2923407.4,17200.8000,458468.200,43653.946443,112536.267524,11.00,2449813.4,519548.325
2018-10-01,2948163.4,17286.4667,458468.200,44895.797942,115618.695262,11.00,2481128.3,519548.325
2019-07-01,3062616.7,17465.4000,479300.325,42133.857578,105372.747194,12.00,2573734.6,549732.925
2019-10-01,3108710.4,17540.6000,479300.325,44158.965069,103375.689907,12.00,2615897.1,549732.925
2020-01-01,3074465.6,17600.8667,462162.925,41005.081350,87272.515494,12.00,2645899.5,600949.850
2020-04-01,2812435.1,15212.2667,462162.925,32651.998243,85969.345602,12.00,2819977.7,600949.850
2020-07-01,3060840.2,15793.0333,462162.925,39349.096224,109512.648754,12.00,2873658.5,600949.850
2020-10-01,3132952.5,16135.9333,462162.925,42918.595561,112603.130858,12.00,2822558.1,600949.850
2021-04-01,3331416.0,16594.4000,,45163.316642,116335.801087,13.00,2960283.0,631954.475
2022-01-01,3497723.7,17461.9000,,45362.947506,127690.353936,14.00,2963583.8,616849.650
2022-04-01,3558511.9,17655.0667,,48274.451154,132692.505978,14.00,2980388.9,
2022-07-01,3634821.3,17781.2333,,46304.912398,128941.380112,14.00,3024918.6,
2022-10-01,3701354.1,17876.4333,,45607.221619,119433.961599,14.00,3104993.3,
2011-07-01,2027032.7,14459.2000,336420.550,40546.000000,93262.900000,8.00,1725332.9,376611.100
2010-07-01,1953261.5,14281.4333,322586.800,36069.600000,87720.400000,8.00,1613533.6,358967.225
2005-01-01,1657292.4,14907.1667,276699.400,28304.000000,,6.75,1357135.3,304236.675
2005-10-01,1740674.1,15184.6667,276699.400,31307.800000,,6.75,1433295.8,304236.675
2010-10-01,2006132.2,14334.5000,322586.800,38742.600000,86332.200000,8.00,1652871.8,358967.225
2009-10-01,1892186.4,14244.6333,311349.375,33644.500000,77594.500000,8.00,1547249.3,344835.650
2010-04-01,1937908.1,14309.5333,322586.800,35453.300000,82594.200000,8.00,1607697.2,358967.225
2010-01-01,1919069.0,14200.0333,322586.800,33003.300000,70488.600000,8.00,1582060.4,358967.225
