date,expenditure
2005-01-01,276699.4
2005-04-01,276699.4
2005-07-01,276699.4
2005-10-01,276699.4
2006-01-01,294295.225
2006-04-01,294295.225
2006-07-01,294295.225
2006-10-01,294295.225
2007-01-01,311923.45
2007-04-01,311923.45
2007-07-01,311923.45
2007-10-01,311923.45
2008-01-01,321639.175
2008-04-01,321639.175
2008-07-01,321639.175
2008-10-01,321639.175
2009-01-01,311349.375
2009-04-01,311349.375
2009-07-01,311349.375
2009-10-01,311349.375
2010-01-01,322586.8
2010-04-01,322586.8
2010-07-01,322586.8
2010-10-01,322586.8
2011-01-01,336420.55
2011-04-01,336420.55
2011-07-01,336420.55
2011-10-01,336420.55
2012-01-01,350241.975
2012-04-01,350241.975
2012-07-01,350241.975
2012-10-01,350241.975
2013-01-01,360766.9
2013-04-01,360766.9
2013-07-01,360766.9
2013-10-01,360766.9
2014-01-01,377824.05
2014-04-01,377824.05
2014-07-01,377824.05
2014-10-01,377824.05
2015-01-01,395347.325
2015-04-01,395347.325
2015-07-01,395347.325
2015-10-01,395347.325
2016-01-01,412812.25
2016-04-01,412812.25
2016-07-01,412812.25
2016-10-01,412812.25
2017-01-01,434588.4
2017-04-01,434588.4
2017-07-01,434588.4
2017-10-01,434588.4
2018-01-01,458468.2
2018-04-01,458468.2
2018-07-01,458468.2
2018-10-01,458468.2
2019-01-01,479300.325
2019-04-01,479300.325
2019-07-01,479300.325
2019-10-01,479300.325
2020-01-01,462162.925
2020-04-01,462162.925
2020-07-01,462162.925
2020-10-01,462162.925
2021-01-01,520701.7
