DATE,IMPTOTCA
2008-01-01,82572.2
2008-04-01,91073.0
2008-07-01,94854.2
2008-10-01,79769.1
2009-01-01,56273.8
2009-04-01,63519.700000000004
2009-07-01,73026.4
2009-10-01,77594.5
2010-01-01,70488.6
2010-04-01,82594.2
2010-07-01,87720.4
2010-10-01,86332.2
2011-01-01,78988.0
2011-04-01,85763.2
2011-07-01,93262.9
2011-10-01,93345.2
2012-01-01,86897.6
2012-04-01,95646.0
2012-07-01,95445.9
2012-10-01,98310.5
2013-01-01,86303.866629
2013-04-01,94786.354938
2013-07-01,98880.413967
2013-10-01,101098.30978
2014-01-01,89338.965876
2014-04-01,99971.94316699999
2014-07-01,104339.477946
2014-10-01,110157.650847
2015-01-01,92789.764288
2015-04-01,102746.825884
2015-07-01,106325.951882
2015-10-01,106474.62238300001
2016-01-01,94363.014984
2016-04-01,99552.447094
2016-07-01,104427.94362800001
2016-10-01,111718.726702
2017-01-01,99344.454159
2017-04-01,109036.853225
2017-07-01,111780.655875
2017-10-01,120061.230793
2018-01-01,104393.65682100001
2018-04-01,107650.01030200001
2018-07-01,112536.267524
2018-10-01,115618.695262
2019-01-01,94896.629935
2019-04-01,103871.088022
2019-07-01,105372.747194
2019-10-01,103375.68990699999
2020-01-01,87272.51549399999
2020-04-01,85969.345602
2020-07-01,109512.648754
2020-10-01,112603.13085799999
2021-01-01,104197.286486
2021-04-01,116335.801087
2021-07-01,123343.130106
2021-10-01,126444.851299
2022-01-01,127690.353936
2022-04-01,132692.505978
2022-07-01,128941.380112
2022-10-01,119433.961599
