DATE,STTMINWGCA
2005-01-01,6.75
2005-04-01,6.75
2005-07-01,6.75
2005-10-01,6.75
2006-01-01,6.75
2006-04-01,6.75
2006-07-01,6.75
2006-10-01,6.75
2007-01-01,7.5
2007-04-01,7.5
2007-07-01,7.5
2007-10-01,7.5
2008-01-01,8.0
2008-04-01,8.0
2008-07-01,8.0
2008-10-01,8.0
2009-01-01,8.0
2009-04-01,8.0
2009-07-01,8.0
2009-10-01,8.0
2010-01-01,8.0
2010-04-01,8.0
2010-07-01,8.0
2010-10-01,8.0
2011-01-01,8.0
2011-04-01,8.0
2011-07-01,8.0
2011-10-01,8.0
2012-01-01,8.0
2012-04-01,8.0
2012-07-01,8.0
2012-10-01,8.0
2013-01-01,8.0
2013-04-01,8.0
2013-07-01,8.0
2013-10-01,8.0
2014-01-01,9.0
2014-04-01,9.0
2014-07-01,9.0
2014-10-01,9.0
2015-01-01,9.0
2015-04-01,9.0
2015-07-01,9.0
2015-10-01,9.0
2016-01-01,10.0
2016-04-01,10.0
2016-07-01,10.0
2016-10-01,10.0
2017-01-01,10.5
2017-04-01,10.5
2017-07-01,10.5
2017-10-01,10.5
2018-01-01,11.0
2018-04-01,11.0
2018-07-01,11.0
2018-10-01,11.0
2019-01-01,12.0
2019-04-01,12.0
2019-07-01,12.0
2019-10-01,12.0
2020-01-01,12.0
2020-04-01,12.0
2020-07-01,12.0
2020-10-01,12.0
2021-01-01,13.0
2021-04-01,13.0
2021-07-01,13.0
2021-10-01,13.0
2022-01-01,14.0
2022-04-01,14.0
2022-07-01,14.0
2022-10-01,14.0
