DATE,IMPTOTCA
2008-01-01,28154.5
2008-02-01,26520.0
2008-03-01,27897.7
2008-04-01,30021.1
2008-05-01,30191.9
2008-06-01,30860.0
2008-07-01,33351.8
2008-08-01,30942.6
2008-09-01,30559.8
2008-10-01,30964.2
2008-11-01,25801.2
2008-12-01,23003.7
2009-01-01,20004.9
2009-02-01,16265.1
2009-03-01,20003.8
2009-04-01,19810.4
2009-05-01,20599.9
2009-06-01,23109.4
2009-07-01,23541.7
2009-08-01,23973.3
2009-09-01,25511.4
2009-10-01,26916.1
2009-11-01,25362.6
2009-12-01,25315.8
2010-01-01,23043.4
2010-02-01,22530.2
2010-03-01,24915.0
2010-04-01,25922.6
2010-05-01,26766.0
2010-06-01,29905.6
2010-07-01,28501.8
2010-08-01,30351.6
2010-09-01,28867.0
2010-10-01,28845.4
2010-11-01,29899.0
2010-12-01,27587.8
2011-01-01,25709.1
2011-02-01,24386.7
2011-03-01,28892.2
2011-04-01,26984.3
2011-05-01,28716.9
2011-06-01,30062.0
2011-07-01,30218.8
2011-08-01,32183.8
2011-09-01,30860.3
2011-10-01,31707.8
2011-11-01,32159.3
2011-12-01,29478.1
2012-01-01,29516.1
2012-02-01,26662.7
2012-03-01,30718.8
2012-04-01,30969.9
2012-05-01,32207.3
2012-06-01,32468.8
2012-07-01,31928.8
2012-08-01,32109.3
2012-09-01,31407.8
2012-10-01,34542.2
2012-11-01,32905.1
2012-12-01,30863.2
2013-01-01,30459.565168
2013-02-01,27747.178454
2013-03-01,28097.123007
2013-04-01,30391.428043
2013-05-01,32364.013639
2013-06-01,32030.913256
2013-07-01,33487.182178
2013-08-01,32187.203351
2013-09-01,33206.028438
2013-10-01,35327.254481
2013-11-01,33896.272603
2013-12-01,31874.782696
2014-01-01,31587.86245
2014-02-01,27337.945793
2014-03-01,30413.157633
2014-04-01,32100.274498
2014-05-01,33750.370598
2014-06-01,34121.298071
2014-07-01,34501.251566
2014-08-01,34294.237944
2014-09-01,35543.988436
2014-10-01,37897.567293
2014-11-01,35755.375615
2014-12-01,36504.707939
2015-01-01,31188.349163
2015-02-01,26521.239987
2015-03-01,35080.175138
2015-04-01,33214.257349
2015-05-01,33532.518255
2015-06-01,36000.05028
2015-07-01,35133.224924
2015-08-01,35600.365001
2015-09-01,35592.361957
2015-10-01,36876.673061
2015-11-01,35950.172968
2015-12-01,33647.776354
2016-01-01,31164.867454
2016-02-01,31338.206905
2016-03-01,31859.940625
2016-04-01,31304.587389
2016-05-01,33735.175038
2016-06-01,34512.684667
2016-07-01,33418.18154
2016-08-01,36308.307517
2016-09-01,34701.454571
2016-10-01,37713.924989
2016-11-01,37945.141662
2016-12-01,36059.660051
2017-01-01,34868.819407
2017-02-01,29735.685522
2017-03-01,34739.94923
2017-04-01,34679.370276
2017-05-01,37164.667158
2017-06-01,37192.815791
2017-07-01,36471.487902
2017-08-01,37960.729789
2017-09-01,37348.438184
2017-10-01,39647.502395
2017-11-01,42103.206776
2017-12-01,38310.521622
2018-01-01,37241.941183
2018-02-01,33165.776759
2018-03-01,33985.938879
2018-04-01,35278.792258
2018-05-01,37114.427318
2018-06-01,35256.790726
2018-07-01,36769.485791
2018-08-01,37614.037516
2018-09-01,38152.744217
2018-10-01,41383.386389
2018-11-01,37475.793617
2018-12-01,36759.515256
2019-01-01,34348.145683
2019-02-01,29485.51757
2019-03-01,31062.966682
2019-04-01,32528.938172
2019-05-01,36061.077727
2019-06-01,35281.072123
2019-07-01,35898.744116
2019-08-01,35181.229991
2019-09-01,34292.773087
2019-10-01,36419.572479
2019-11-01,33918.622079
2019-12-01,33037.495349
2020-01-01,31992.700854
2020-02-01,26518.145839
2020-03-01,28761.668801
2020-04-01,26554.684522
2020-05-01,27155.83011
2020-06-01,32258.83097
2020-07-01,36346.327637
2020-08-01,36475.686124
2020-09-01,36690.634993
2020-10-01,39292.110238
2020-11-01,36977.263881
2020-12-01,36333.756739
2021-01-01,33157.573836
2021-02-01,32886.085267
2021-03-01,38153.627383
2021-04-01,37550.947374
2021-05-01,38939.72041
2021-06-01,39845.133303
2021-07-01,39918.319408
2021-08-01,40891.824113
2021-09-01,42532.986585
2021-10-01,42087.398008
2021-11-01,41988.121447
2021-12-01,42369.331844
2022-01-01,40610.980306
2022-02-01,39660.991512
2022-03-01,47418.382118
2022-04-01,42693.587243
2022-05-01,44100.291851
2022-06-01,45898.626884
2022-07-01,43651.470664
2022-08-01,43213.418834
2022-09-01,42076.490614
2022-10-01,43301.63171
2022-11-01,37556.118765
2022-12-01,38576.211124
2023-01-01,36152.969043
2023-02-01,32022.16537
2023-03-01,37702.404127
