DATE,CANA
1990-01-01,12496.6
1990-02-01,12510.2
1990-03-01,12512.7
1990-04-01,12538.5
1990-05-01,12549.7
1990-06-01,12551.9
1990-07-01,12575.6
1990-08-01,12554.1
1990-09-01,12548.1
1990-10-01,12561.2
1990-11-01,12545.9
1990-12-01,12548.4
1991-01-01,12522.9
1991-02-01,12481.5
1991-03-01,12439.7
1991-04-01,12448.2
1991-05-01,12419.2
1991-06-01,12395.6
1991-07-01,12400.6
1991-08-01,12390.8
1991-09-01,12379.3
1991-10-01,12375.1
1991-11-01,12337.2
1991-12-01,12313.5
1992-01-01,12269.7
1992-02-01,12234.7
1992-03-01,12263.5
1992-04-01,12259.2
1992-05-01,12242.4
1992-06-01,12212.4
1992-07-01,12217.1
1992-08-01,12182.3
1992-09-01,12156.3
1992-10-01,12162.7
1992-11-01,12156.8
1992-12-01,12115.6
1993-01-01,12146.7
1993-02-01,12119.1
1993-03-01,12089.0
1993-04-01,12065.3
1993-05-01,12066.2
1993-06-01,12072.1
1993-07-01,12096.2
1993-08-01,12099.9
1993-09-01,12089.8
1993-10-01,12088.4
1993-11-01,12082.9
1993-12-01,12110.4
1994-01-01,12115.8
1994-02-01,12130.2
1994-03-01,12169.3
1994-04-01,12162.8
1994-05-01,12176.5
1994-06-01,12189.9
1994-07-01,12221.8
1994-08-01,12228.5
1994-09-01,12258.1
1994-10-01,12266.6
1994-11-01,12299.2
1994-12-01,12334.0
1995-01-01,12329.2
1995-02-01,12385.8
1995-03-01,12396.8
1995-04-01,12415.8
1995-05-01,12441.6
1995-06-01,12473.5
1995-07-01,12464.6
1995-08-01,12511.8
1995-09-01,12566.3
1995-10-01,12549.2
1995-11-01,12590.9
1995-12-01,12607.7
1996-01-01,12667.8
1996-02-01,12700.7
1996-03-01,12720.8
1996-04-01,12718.9
1996-05-01,12768.0
1996-06-01,12783.1
1996-07-01,12802.6
1996-08-01,12834.5
1996-09-01,12866.1
1996-10-01,12904.1
1996-11-01,12957.5
1996-12-01,12954.0
1997-01-01,12969.0
1997-02-01,13025.3
1997-03-01,13081.3
1997-04-01,13146.7
1997-05-01,13175.9
1997-06-01,13198.4
1997-07-01,13233.7
1997-08-01,13250.0
1997-09-01,13293.3
1997-10-01,13324.8
1997-11-01,13338.9
1997-12-01,13392.0
1998-01-01,13476.1
1998-02-01,13497.4
1998-03-01,13528.7
1998-04-01,13565.7
1998-05-01,13627.1
1998-06-01,13664.3
1998-07-01,13711.8
1998-08-01,13758.4
1998-09-01,13812.5
1998-10-01,13828.2
1998-11-01,13873.0
1998-12-01,13887.9
1999-01-01,13875.1
1999-02-01,13914.2
1999-03-01,13937.9
1999-04-01,13992.2
1999-05-01,14026.7
1999-06-01,14042.6
1999-07-01,14131.4
1999-08-01,14145.4
1999-09-01,14189.1
1999-10-01,14250.6
1999-11-01,14281.2
1999-12-01,14321.0
2000-01-01,14345.6
2000-02-01,14384.1
2000-03-01,14429.6
