date;personal_income
1997:Q1;860316.2
1997:Q2;873365.2
1997:Q3;889388.4
1997:Q4;907639.4
1998:Q1;938107.3
1998:Q2;949737.3
1998:Q3;967108.9
1998:Q4;983820.6
1999:Q1;1004995.5
1999:Q2;1018191.4
1999:Q3;1035402.1
1999:Q4;1064949.6
2000:Q1;1101562.4
2000:Q2;1121080.4
2000:Q3;1158115.6
2000:Q4;1161415.1
2001:Q1;1182400.2
2001:Q2;1177693.8
2001:Q3;1170156.3
2001:Q4;1165264.2
2002:Q1;1174659.1
2002:Q2;1184953.1
2002:Q3;1193836.4
2002:Q4;1207446.4
2003:Q1;1215893.0
2003:Q2;1233661.7
2003:Q3;1254855.0
2003:Q4;1269452.3
2004:Q1;1288175.1
2004:Q2;1309628.8
2004:Q3;1324715.1
2004:Q4;1352458.2
2005:Q1;1357135.3
2005:Q2;1381421.7
2005:Q3;1407566.7
2005:Q4;1433295.8
2006:Q1;1482238.1
2006:Q2;1492347.9
2006:Q3;1510549.2
2006:Q4;1529882.5
2007:Q1;1553525.0
2007:Q2;1571734.9
2007:Q3;1574648.7
2007:Q4;1590976.9
2008:Q1;1591475.0
2008:Q2;1609955.8
2008:Q3;1602266.6
2008:Q4;1575272.5
2009:Q1;1542063.0
2009:Q2;1541037.8
2009:Q3;1533140.3
2009:Q4;1547249.3
2010:Q1;1582060.4
2010:Q2;1607697.2
2010:Q3;1613533.6
2010:Q4;1652871.8
2011:Q1;1700226.8
2011:Q2;1706267.6
2011:Q3;1725332.9
2011:Q4;1729080.6
2012:Q1;1786135.4
2012:Q2;1808358.6
2012:Q3;1808445.3
2012:Q4;1905728.1
2013:Q1;1817215.5
2013:Q2;1848098.9
2013:Q3;1867393.2
2013:Q4;1896095.8
2014:Q1;1923713.3
2014:Q2;1960824.8
2014:Q3;2003994.1
2014:Q4;2034415.2
2015:Q1;2084189.7
2015:Q2;2117632.1
2015:Q3;2138781.8
2015:Q4;2161117.7
2016:Q1;2188444.1
2016:Q2;2202876.8
2016:Q3;2229957.3
2016:Q4;2252552.9
2017:Q1;2275859.5
2017:Q2;2303674.2
2017:Q3;2330495.9
2017:Q4;2363094.0
2018:Q1;2380758.2
2018:Q2;2415395.5
2018:Q3;2449813.4
2018:Q4;2481128.3
2019:Q1;2524160.5
2019:Q2;2555910.3
2019:Q3;2573734.6
2019:Q4;2615897.1
2020:Q1;2645899.5
2020:Q2;2819977.7
2020:Q3;2873658.5
2020:Q4;2822558.1
2021:Q1;3087766.5
2021:Q2;2960283.0
2021:Q3;2993208.6
2021:Q4;2983477.6
2022:Q1;2963583.8
2022:Q2;2980388.9
2022:Q3;3024918.6
2022:Q4;3104993.3
