DATE,EXPTOTCA
1995-08-01,6721.9
1995-09-01,6687.3
1995-10-01,6755.7
1995-11-01,6776.3
1995-12-01,7454.2
1996-01-01,7259.5
1996-02-01,7434.6
1996-03-01,8454.6
1996-04-01,7943.1
1996-05-01,7510.9
1996-06-01,8052.6
1996-07-01,7371.5
1996-08-01,7581.0
1996-09-01,7661.0
1996-10-01,8136.5
1996-11-01,7912.6
1996-12-01,8099.8
1997-01-01,7310.0
1997-02-01,7244.9
1997-03-01,8266.3
1997-04-01,8519.4
1997-05-01,7958.9
1997-06-01,8198.7
1997-07-01,8439.0
1997-08-01,8173.4
1997-09-01,8271.5
1997-10-01,8949.8
1997-11-01,8599.6
1997-12-01,9229.5
1998-01-01,7703.3
1998-02-01,7751.1
1998-03-01,8841.8
1998-04-01,7872.7
1998-05-01,7449.3
1998-06-01,8191.0
1998-07-01,7497.2
1998-08-01,7525.8
1998-09-01,7903.6
1998-10-01,8427.2
1998-11-01,8243.1
1998-12-01,8361.9
1999-01-01,7136.5
1999-02-01,7199.5
1999-03-01,8299.4
1999-04-01,7534.1
1999-05-01,7457.1
1999-06-01,8003.8
1999-07-01,8035.9
1999-08-01,8396.4
1999-09-01,8683.6
1999-10-01,8808.5
1999-11-01,8777.0
1999-12-01,9588.3
2000-01-01,8286.9
2000-02-01,8345.0
2000-03-01,10123.4
2000-04-01,9759.4
2000-05-01,9140.7
2000-06-01,10073.3
2000-07-01,9739.2
2000-08-01,10654.3
2000-09-01,10643.2
2000-10-01,11191.5
2000-11-01,10455.9
2000-12-01,11227.8
2001-01-01,10030.7
2001-02-01,9598.4
2001-03-01,10650.8
2001-04-01,8938.7
2001-05-01,9000.0
2001-06-01,9121.0
2001-07-01,8327.0
2001-08-01,8554.8
2001-09-01,8122.8
2001-10-01,8516.4
2001-11-01,7986.8
2001-12-01,7929.4
2002-01-01,7157.5
2002-02-01,7001.6
2002-03-01,8353.0
2002-04-01,7677.6
2002-05-01,7856.2
2002-06-01,8073.8
2002-07-01,7494.5
2002-08-01,7983.1
2002-09-01,7469.4
2002-10-01,7814.4
2002-11-01,8006.1
2002-12-01,7327.0
2003-01-01,6850.0
2003-02-01,6795.6
2003-03-01,7999.7
2003-04-01,7423.5
2003-05-01,7598.3
2003-06-01,7999.9
2003-07-01,7693.1
2003-08-01,7698.2
2003-09-01,7609.6
2003-10-01,8580.2
2003-11-01,8730.5
2003-12-01,9016.3
2004-01-01,7980.3
2004-02-01,8368.1
2004-03-01,10713.7
2004-04-01,9281.1
2004-05-01,9112.8
2004-06-01,9032.9
2004-07-01,8823.3
2004-08-01,8785.6
2004-09-01,9387.6
2004-10-01,9828.8
2004-11-01,8814.7
2004-12-01,9735.8
2005-01-01,8722.6
2005-02-01,8843.8
2005-03-01,10737.6
2005-04-01,9166.7
2005-05-01,9999.8
2005-06-01,9920.3
2005-07-01,9149.8
2005-08-01,9391.4
2005-09-01,9578.7
2005-10-01,10426.2
2005-11-01,10199.3
2005-12-01,10682.3
2006-01-01,9204.1
2006-02-01,9539.6
2006-03-01,11630.6
2006-04-01,10508.0
2006-05-01,10839.3
2006-06-01,11265.8
2006-07-01,10267.7
2006-08-01,10612.4
2006-09-01,10862.0
2006-10-01,11216.2
2006-11-01,10760.6
2006-12-01,11039.8
2007-01-01,10420.6
2007-02-01,9630.7
2007-03-01,11910.6
2007-04-01,10268.4
2007-05-01,11080.6
2007-06-01,11670.9
2007-07-01,10602.6
2007-08-01,11470.2
2007-09-01,11412.0
2007-10-01,12196.1
2007-11-01,11467.4
2007-12-01,12021.6
2008-01-01,11048.2
2008-02-01,11318.2
2008-03-01,12446.0
2008-04-01,12418.5
2008-05-01,12698.1
2008-06-01,13289.3
2008-07-01,12771.5
2008-08-01,12902.2
2008-09-01,12360.1
2008-10-01,12439.2
2008-11-01,10744.3
2008-12-01,10377.7
2009-01-01,8661.0
2009-02-01,9129.8
2009-03-01,9840.5
2009-04-01,9244.5
2009-05-01,9498.2
2009-06-01,9976.6
2009-07-01,9766.5
2009-08-01,10029.0
2009-09-01,10351.8
2009-10-01,11078.3
2009-11-01,10947.0
2009-12-01,11619.2
2010-01-01,10259.3
2010-02-01,10376.6
2010-03-01,12367.4
2010-04-01,11263.5
2010-05-01,11942.0
2010-06-01,12247.8
2010-07-01,11860.7
2010-08-01,11885.1
2010-09-01,12323.8
2010-10-01,12907.0
2010-11-01,12493.3
2010-12-01,13342.3
2011-01-01,11747.4
2011-02-01,11764.0
2011-03-01,13951.7
2011-04-01,12883.1
2011-05-01,13197.1
2011-06-01,13834.5
2011-07-01,13150.0
2011-08-01,13906.4
2011-09-01,13489.6
2011-10-01,13814.6
2011-11-01,14071.9
2011-12-01,13543.9
2012-01-01,12412.6
2012-02-01,12851.2
2012-03-01,14615.6
2012-04-01,13029.4
2012-05-01,13878.4
2012-06-01,15177.8
2012-07-01,13086.7
2012-08-01,13218.1
2012-09-01,12873.0
2012-10-01,13867.9
2012-11-01,13328.9
2012-12-01,13360.0
2013-01-01,12580.628578
2013-02-01,12721.150808
2013-03-01,14104.684167
2013-04-01,13113.43882
2013-05-01,13273.20301
2013-06-01,15239.455344
2013-07-01,13955.64712
2013-08-01,14217.116092
2013-09-01,13815.312386
2013-10-01,15328.746009
2013-11-01,15229.537559
2013-12-01,14612.631667
2014-01-01,12901.822435
2014-02-01,13779.561293
2014-03-01,15424.468867
2014-04-01,14070.651046
2014-05-01,14204.664558
2014-06-01,15726.238914
2014-07-01,13840.633241
2014-08-01,14521.156288
2014-09-01,14456.620378
2014-10-01,15492.054316
2014-11-01,14812.696548
2014-12-01,14638.019978
2015-01-01,12591.885686
2015-02-01,12438.369189
2015-03-01,15223.128361
2015-04-01,14380.855124
2015-05-01,14132.322673
2015-06-01,15097.747433
2015-07-01,13799.7159
2015-08-01,13240.085806
2015-09-01,14109.675634
2015-10-01,14661.640941
2015-11-01,12835.46434
2015-12-01,12849.486713
2016-01-01,11933.514208
2016-02-01,12104.503175
2016-03-01,13732.119331
2016-04-01,12784.214317
2016-05-01,13305.634401
2016-06-01,14614.151188
2016-07-01,13474.197366
2016-08-01,14106.205141
2016-09-01,13624.053222
2016-10-01,15189.843018
2016-11-01,14376.557811
2016-12-01,14015.630407
2017-01-01,13207.982856
2017-02-01,13457.812865
2017-03-01,14885.22791
2017-04-01,14078.691914
2017-05-01,13489.902899
2017-06-01,14998.608904
2017-07-01,13301.303823
2017-08-01,14787.715101
2017-09-01,14280.540671
2017-10-01,14779.75966
2017-11-01,15337.387316
2017-12-01,15315.496666
2018-01-01,13730.469448
2018-02-01,14550.2882
2018-03-01,15864.56014
2018-04-01,14911.320839
2018-05-01,15203.282568
2018-06-01,15365.570067
2018-07-01,13998.952888
2018-08-01,15179.391373
2018-09-01,14475.602182
2018-10-01,15975.783666
2018-11-01,14957.624082
2018-12-01,13962.390194
2019-01-01,13812.9272
2019-02-01,14348.751081
2019-03-01,15705.824654
2019-04-01,14147.316989
2019-05-01,15413.484492
2019-06-01,14033.380664
2019-07-01,13527.0386
2019-08-01,14950.794255
2019-09-01,13656.024723
2019-10-01,15444.144428
2019-11-01,14762.688184
2019-12-01,13952.132457
2020-01-01,13338.926637
2020-02-01,14120.47866
2020-03-01,13545.676053
2020-04-01,10395.570067
2020-05-01,10535.738091
2020-06-01,11720.690085
2020-07-01,13442.404187
2020-08-01,13096.127177
2020-09-01,12810.56486
2020-10-01,14684.030836
2020-11-01,14227.89528
2020-12-01,14006.669445
2021-01-01,13069.659298
2021-02-01,13038.701042
2021-03-01,14829.452809
2021-04-01,15192.43155
2021-05-01,14913.119744
2021-06-01,15057.765348
2021-07-01,14855.603768
2021-08-01,14812.462395
2021-09-01,14030.164455
2021-10-01,15864.803339
2021-11-01,14855.631552
2021-12-01,14406.870596
2022-01-01,13707.051269
2022-02-01,14623.014976
2022-03-01,17032.881261
2022-04-01,15900.733273
2022-05-01,16155.742727
2022-06-01,16217.975154
2022-07-01,15286.415548
2022-08-01,15586.484263
2022-09-01,15432.012587
2022-10-01,15670.76163
2022-11-01,14712.853206
2022-12-01,15223.606783
2023-01-01,14975.735129
2023-02-01,13446.862375
2023-03-01,16302.022778
